Type,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015
Cereal,0,0,0,0,0,731.17533380182715,-11.88372560002537,-12.881327472369311,-71.696048130072342,145.53480227637533,-36.52175635654077,0.79267246087350651,-76.933199164021985,402.51677852348996,1.669449081803005,26.896551724137932,-40.885093167701868,67.848699763593402,-3.5472091810119979,-86.414277988101674,126.39331210191087,1409.5480921399683,-31.180691454664053,24.576844955991877,-35.701086956521749,10.742963401234059,-34.69699282552282,-24.859747545582053,-36.59978223673977,-100.0,0,0,0,3222.3021194605012,-7.3207240516418839,-68.540528954934572,-68.540528954934572
Fresh vegetables,0,0,0,0,0,437.54312320571279,3.0695593244680603,23.375780785651621,-24.173388555465959,16.889421566459941,-17.700709581339048,-47.369261399786637,-12.173417418963391,105.05516245185062,-27.485751768107953,13.2225558140599,-31.790819603332519,13.744579192193649,0.41871516550267129,-7.4400082994836785,66.445088200300049,87.315400434077688,-10.748358765326945,-19.217350890782331,37.021240689459418,22.253324002799161,-15.572409845449341,-14.599816942947216,-27.356880304221143,-68.535113986579518,-100.0,0,0,0,0,0,0
Grains,0,0,0,0,0,699.82038616973512,3.4471143049629385,-16.118528166720939,-16.886645962732921,13.833099797602371,-81.173493811119471,16.34580457682528,-88.60443334374024,12445.068493150686,-24.481595125520045,53.089258086438505,-78.352774498229039,130.04930407085823,-84.675201517306775,755.13613861386136,-14.205079962370649,62.179487179487182,-56.032868733097565,43.399574166075233,203.45129093458715,34.228567389921537,-28.182311580584535,12.003947776555844,-15.760640242336605,-81.577915495112947,-100.0,0,0,1264.655172413793,-41.000897178353341,-37.755797995397849,-37.755797995397849
Fresh poultry,0,0,0,0,0,375.15545211380135,56.369578090844627,-5.3635798342115137,-18.273843341649584,44.672542405667812,-26.976174757443825,-28.432466454953797,-14.811912852288627,130.56527982430617,-43.347648220137181,28.736482845338607,7.3701365749655334,-8.6108309854762108,-0.51078158683571484,-14.803528651714293,23.809875317075782,-16.23260830682009,100.50145583953413,-27.515127067365874,39.54588457899716,10.664007976071785,4.2632166924934234,2.1291303746716439,-20.461621767970758,-60.705471874734066,-100.0,0,0,0,0,0,0
Fresh Beef & Poultry,-80.679065447063024,98.369446835876317,4.0193000115035051,30.952670736837771,-86.434376699382625,146.51169371383298,-40.557704669635889,11.570231974316282,-37.767469634488819,33.416075650118195,36.679365641888907,22.898356205125456,-77.023505175109833,195.13071189370208,-17.904759290270036,-26.812276722268972,39.095339628388658,-8.8481331435453789,-42.756669749786781,88.868837150741257,-10.172824692098724,0.21769111362610202,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh fruits,0,0,0,0,0,297.40980741927262,-0.26840227363291763,65.588331197788236,-34.091697013232313,34.503044559559328,3.1545948584139714,-68.878293783665754,23.049935680037446,122.49017930684913,-43.755806709975971,111.91298954456849,-33.816890520889643,-24.098912273351953,-18.370610827714955,67.216804201050252,21.106595756728385,35.563308097610104,65.400992765177335,-39.745701678266265,6.1426860109144146,43.377014232867275,-15.901378393506858,3.0846029847641865,-27.042907153882634,-70.845651987532463,-100.0,0,0,0,0,0,0
Beef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11244.838435374148,-56.989975912307898,-47.854400987097819,-47.854400987097819
Oil,0,0,0,0,0,0,3.941663381947182,-3.7921880925293898,71.265273945605045,-79.76985040276179,188.62343572241181,-65.352778872684269,-100.0,0,8.5645355850422114,194.44444444444446,-32.075471698113205,-2.7777777777777777,51.428571428571431,0.0,49.622641509433961,-9.7099621689785618,1.6759776536312849,-56.868131868131869,1394.2675159235669,102.25916453537937,13.63540569020021,44.549332344213653,15.746526218549919,-86.443345822156203,-100.0,0,0,906.28378378378375,-62.346068622842957,-49.454239541353104,-49.454239541353104
Dried fruits,0,0,0,0,0,349.31415824196688,71.226205818350849,-59.776177873196247,85.659509202453989,-34.774886410574148,98.282566018618212,-51.976953638999952,-70.209624644196751,524.38473902754833,-10.350466897090998,7.6637765316784794,-16.616905102350767,-51.043110495077656,25.408348457350272,119.24746743849494,-15.247524752475247,15.420560747663551,23.987854251012145,-32.462585034013607,46.011281224818696,64.823399558498892,188.58903100515636,-73.660517461422444,101.00784071887941,-89.831437036517599,-100.0,0,0,3284.2831746031748,-32.853680674400394,-74.392998295084979,-74.392998295084979
Poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4548.6359967715898,-60.701717288867741,-34.919187676133696,-34.919187676133696
Fresh beef,0,0,0,0,0,173.78860297904782,-23.691958079450394,14.087260499561179,-51.870115108939686,73.254764630614858,14.766039818709057,-54.878172691987245,-69.989891711203185,863.665408280669,-56.493096822216074,-2.5597072802115908,-5.4616549455303884,4.1814539457209872,-25.939171912491773,30.754122577793193,-23.67463795405525,134.58236847564635,-100.0,0,2.3809523809523809,-100.0,0,0,-100.0,0,0,0,0,0,0,0,0
Chemical free beef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.695652173913,-13.251533742331288,23.479490806223481,-4.9991818033055146,20.670054258892428,94.261651559488968,-64.729223308104935,-13.03125,-100.0,0,0,0,0,-100.0,-100.0
